sentiment,content
neutral,chale ver define quotoutquot
sadness,yeah neither huntsville would quit jobs one job
surprise,really cool
surprise,would pay lunch oscar de la renta dont see hitting east village shops
neutral,youre welcome course
sadness,yepsadly min meeting
happiness,kayyy xd yeah everyone always talks part dog dies need find movie havent seen xd
neutral,write write write
sadness,cat died kidney failure math test day needs get better
happiness,shareeee
sadness,knoww things wont samee
sadness,lovely day sky clear birds singing im stuck office windows hours
neutral,hey tdukes flwd u immediately mornwhen dhmptn mentioned bit abt tattoo love hershes twitterer
sadness,morning alex hope tweeting lots today miss arent xx
happiness,love lamp sydney australia
neutral,way
happiness,finally got twitter lets hope make good use site
happiness,mood way much fun lol love dance techno lifelovestress ampamp set backs gnite
neutral,time u like reservesi lost one
sadness,hell going last night morning sucked moving tonight
neutral,haha def song epic fun im listening new fnb
happiness,going hike today
happiness,finally left house gloomy outside
neutral,chance youll madison wi location soon maybe small
surprise,oh poor atleast get paid staying back
happiness,boo well good fun tho sucks u cant get cards finished last nights tpt took lol
neutral,im bad trying get live dream rule world saving super hero costume
neutral,hours sleep last night barely functioning
sadness,veryyy upset cant go hacienda tonight stupid nuggets game
sadness,missed friggin hair appt
surprise,theres huge bulldyke eyein
surprise,sadly think know exactly put itin expired drawer things life span less two years
surprise,babe u aint reading tweets phone fallen apart new comes nxt wk track ball keeps fallin phone
happiness,took advice enjoyable small alone wouldve come lol
neutral,hey dont know use
sadness,nto good
neutral,heh meant differences
sadness,another david hughes list im hurt ftw
sadness,leaving get angry teethed pulled
sadness,always sunny days cant possible outside life get
sadness,could live mediterranean food rest life miss home
neutral,thanks
surprise,brecky good morning x
happiness,finished zombie chronicles days ago bittersweet need something new gym
happiness,found rollo got happy hmmm guess really need inserted back matrix
neutral,make talk smell hugecoffeesuccess though
happiness,time low mean fucking much hope get see june would awesome gaskarth amazing
happiness,shes festive aint hehe
happiness,celebrating engaged year handsome
happiness,going tonight finally wanty lie park cinema bound looks
surprise,really stuck weather today might stay watch
sadness,apparently im getting drives school morning anymore well dad left school morning watching twilight
neutral,mtv movie awards go vote stat
sadness,today work tomorrow
neutral,crud say
neutral,want monte cristo sandwich sooo bad
neutral,wack friends raiding kitchen rene love bound badluck debbie psycho korean friend
neutral,weekends like almost always end quotone weeksquot
happiness,glad like
happiness,enjoying staying house today
happiness,swear took hours get bel air alabang yes loved reminiscing hk trip amp
happiness,love creditcardsized memory sticks microsoft keeps sending
happiness,added minutes morning sleep cutting useless today show feels nice
neutral,k goodnight gotta chuck e cheese tomorrow following kindergarten shots physical bla
happiness,spent little much wombat cool cuz time take care tamara good yay
neutral,since travel quite often use online travel sites would love feedback ixigocom
surprise,says numbers good thats left white blood cell count
happiness,thanks jt also enjoyed r u following ill follow u back
neutral,tataindicom good tatasky airtel broadband better
surprise,went bought conquered came back delicious custard croissant
neutral,sure youre talking aboutim ferris wheel im couch
surprise,sorry missed yes im lazy bastard still dressed
neutral,working
happiness,listening miley cyrus breakout cd love
sadness,going sleep peaceful wanted hear say good night didnt happen good night everyone
sadness,luck goin forum im person earth goin
neutral,un cross pleasei planning buying lambo summer next stop pitsvillle babypeople carrier
sadness,hummmmm ohh miss much really hope nice friends like us
neutral,think sun moon gods way reminding us hes always watching us
neutral,dont ship october
surprise,pho broth concentrated mix pork beef bonesso think youve missed point
neutral,okay enough talking time bed big mothers day tomorrow back greeley big move
neutral,thanks following
happiness,good morning broham
neutral,want dog
surprise,lol cant take back lost receipt
surprise,ada acara menarik lain keys vip di channel v ttg straight yg dikasih tasks approach strangers crowd hmm
neutral,hope someone spell wander bit man feel like signing twitter couple days
happiness,think time bed good night twitts
neutral,gahh im tired right
sadness,bye selena bad didnt get talk u u
neutral,best things life free x
sadness,getting hair donemissing
surprise,ur going get tired hearing saw preview ur movie year one funny yeah
sadness,grrrrrrrrrrrrrrrrrrrrrrrr
sadness,wish quoti likequot option like fb things like
happiness,finally made qchappy mothers day got car
neutral,cannot full day activities lol
sadness,ugh back killing
sadness,wants go home seniors
sadness,last night bottle wine house cocktails came home sober still gonna sick
neutral,ah yes know feeling
neutral,another bank holiday office
happiness,time mimis
happiness,brads face saw gift priceless thnx nat
happiness,awesome thats wanna roll become mogul status
happiness,yes lol thats good one remeber bottoms always top
happiness,proud cg took yrs making get number spot gnight twitter bugstime read sleep
neutral,south border officially south carolina january
sadness,hanging rex missing alabama nanna already
sadness,becoming edgy bcause lappy arrive yet
neutral,home whoott happy mothers day madre
happiness,well im hving another one today yey
neutral,tweetie using yfrog think chance adding inclient image viewing
sadness,catching last bit later jools last series sob cry
neutral,ill stop world melt youthe cure
sadness,livinghandyde stay tuned
sadness,twitter
happiness,cant wait see
surprise,tweets also filming place w signal hmmm
sadness,surgery effin hurts
neutral,hours guess sleepin living room
happiness,u think web design wld go well international brotherhood magicians maybe magic success sxswi
neutral,think could wear
neutral,iphone sdk amp going become friends today even kills
happiness,sorry listen bats gd dude never got tell bats amazing
happiness,pool party sherraton n brodi blast friends made evening bbqd home great conversation funky n lifted day
neutral,tati sent emal doll get
surprise,realized followers hey guys
sadness,left quotagainquot titlewhoops
neutral,fuck maaaaannnn holidayzzzzz
sadness,lost peacock chick morning
neutral,
sadness,caught lunch today correct stalking
happiness,yep meeeee im awesome hahahha
neutral,im traffic still dont see sun
neutral,jodies played sims till daddy picked yesterday basically social time
sadness,official twilight saga endedsighmy life empty
sadness,ran eclipse mints
surprise,woke saw sun isnt need start waking early
surprise,forgot already ate lunch guess im going
sadness,freaking awesome solange happy mothers day wish mom like yousad blah best wishes
sadness,sick n tired people steal peoples work
surprise,nooooo serena darrian dont remember ive waiting day see confess love
surprise,oh yeah thats right thanks reminding
neutral,beach nannys got back roast iater pudding
neutral,h im gonna go quotbigquot house borrow sis guitar play maybe write
surprise,doesnt twitter extend number limit littttttle bit atleast
neutral,dont anything fwd mobileme last week ive gotten least spam messages day
surprise,welcome
happiness,feeling pretty good check saying
neutral,goodnight goodbye
surprise,didnt need shipping forecast inland
surprise,doggone got hour nap really want ponderosa chicken wings
sadness,want join drama practice today cant
surprise,wont home till like next month
sadness,bored work ridiculous saturday going suck class morning
surprise,oh hope find voice soon
happiness,thats actually adorable ooh miss dude
neutral,shall annoyingly tweet tomorrow
neutral,ok ive eaten food bored death room seriously nothing guitar taken venue
neutral,oic cavite sorry im america see profile theres word like america
surprise,awake suprisingly couldnt get sleep last night gave pulled allnighter
neutral,yep good morning night evening whatever xd
neutral,chili cheese fries bad idea lunch
sadness,saying goodbye good trusted friend today goodbye free sky tv best friend anyone could
happiness,heading hollywood studios today manta kraken awesome yesterday feeling like rides
happiness,rap battling second sat moviesss haha quoti swim lake sexquot matthew ghosts girlfriends past
sadness,sucks woot misha
sadness,officially resigned never knowing tink means
neutral,fractured growth plate doesnt mix well upcoming dance recital old anybody want buy costumeor six gah
neutral,pics groundup event check myspace
happiness,haha exciting wat look like
neutral,lot im bored names crissy btw lol u doinnnn
surprise,lol cant drink
neutral,ecomonday ill go check recommendations ive seen
happiness,good morning everyone nice day iloveitwhen sun shining im going write stuff
sadness,im sickyoure sick imy
sadness,theyre sappin mah sentry errr yea im without power home right
sadness,ok shopping far fun unpacking bags
